"full_name","state","edu_med","edu_law","edu_masters","edu_doctorate","work_bluecollar","work_business","work_education","work_farming","work_lawenforcement","work_lobbying","work_media","work_medicine","work_military","work_nonprofits","work_privatelaw","work_realestate","work_religiousleader","work_science","work_sports","gov_fedstate","gov_local","gov_none","gov_publiclawyerjudge","gov_stateleg","new","gender","party","college_none","college_public","college_private","college_elite"
"Richard Hudson","NC","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Rick Crawford","AR","",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Rick Larsen","WA","",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
"Rick W. Allen","GA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Ro Khanna","CA","",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"M","Democrat",0,0,0,1
"Rob Bishop","UT","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Rob Wittman","VA","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Rob Woodall","GA","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Robert B. Aderholt","AL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,0,1,0
"Robert E. Latta","OH","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Robin L. Kelly","IL","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,0,1,0
"Rodney Davis","IL","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Roger W. Marshall","KS","1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"M","Republican",0,1,0,0
"Roger Williams","TX","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"M","Republican",0,0,1,0
"Ron Estes","KS","",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"M","Republican",0,1,0,0
"Ron Kind","WI","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Democrat",0,0,0,1
"Ron Wright","TX","",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,"Republican",1,0,0,0
"Rosa L. DeLauro","CT","",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,0,1,0
"Ross Spano","FL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Ruben Gallego","AZ","",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,0,1
"Russ Fulcher","ID","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Salud Carbajal","CA","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,1,0,0
"Sam Graves","MO","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Sanford D. Bishop Jr.","GA","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,1,0
"Scott DesJarlais","TN","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Scott Perry","PA","",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Scott Peters","CA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,"M","Democrat",0,0,0,1
"Scott R. Tipton","CO","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Sean Casten","IL","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Sean P. Duffy","WI","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"M","Republican",0,0,1,0
"Sean Patrick Maloney","NY","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,1,0,0
"Seth Moulton","MA","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,0,1
"Sharice Davids","KS","",1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Sheila Jackson Lee","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"F","Democrat",0,0,0,1
"Steny H. Hoyer","MD","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,"M","Democrat",0,1,0,0
"Stephanie Murphy","FL","",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,1,0,0
"Stephen F. Lynch","MA","",1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,1,0
"Steve Chabot","OH","",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Steve Cohen","TN","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,"M","Democrat",0,0,1,0
"Steve King","IA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",1,0,0,0
"Steve Scalise","LA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Steve Stivers","OH","",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Steve Watkins","KS","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,1,0,0
"Steve Womack","AR","",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Steven Horsford","NV","",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,"Democrat",0,1,0,0
"Steven M. Palazzo","MS","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Susan A. Davis","CA","",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,1,0,0
"Susan W. Brooks","IN","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"F","Republican",0,1,0,0
"Susan Wild","PA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,"Democrat",0,0,1,0
"Susie Lee","NV","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Suzan DelBene","WA","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"F","Democrat",0,0,1,0
"Suzanne Bonamici","OR","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"F","Democrat",0,1,0,0
"Sylvia Garcia","TX","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,NA,"Democrat",0,1,0,0
"T.J. Cox","CA","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Ted Budd","NC","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Ted Deutch","FL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Ted Lieu","CA","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,0,0,1
"Ted Yoho","FL","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Terri Sewell","AL","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,0,0,1
"Thomas Massie","KY","",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,0,0,1
"Thomas R. Suozzi","NY","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
"Tim Burchett","TN","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,"Republican",0,1,0,0
"Tim Ryan","OH","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Tim Walberg","MI","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"M","Republican",0,0,1,0
"Tom Cole","OK","",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"M","Republican",0,0,1,0
"Tom Emmer","MN","",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Tom Graves","GA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Tom Malinowski","NJ","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"Democrat",0,1,0,0
"Tom Marino","PA","",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,0,1,0
"Tom McClintock","CA","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Tom O'Halleran","AZ","",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",1,0,0,0
"Tom Reed","NY","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"M","Republican",0,0,1,0
"Tom Rice","SC","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Tony Cárdenas","CA","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"M","Democrat",0,1,0,0
"Trent Kelly","MS","",1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,1,0,0
"Trey Hollingsworth","IN","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,0,1
"Troy Balderson","OH","",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,"Republican",1,0,0,0
"Tulsi Gabbard","HI","",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,0,1,0
"Val Demings","FL","",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,1,0,0
"Van Taylor","TX","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,NA,"Republican",0,0,0,1
"Vern Buchanan","FL","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Veronica Escobar","TX","",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,NA,"Democrat",0,1,0,0
"Vicente Gonzalez","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,1,0
"Vicky Hartzler","MO","",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Republican",0,1,0,0
"Virginia Foxx","NC","",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"F","Republican",0,1,0,0
"Walter B. Jones","NC","",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,0,1,0
"Warren Davidson","OH","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Will Hurd","TX","",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"William Lacy Clay","MO","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"William Timmons","SC","",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,"Republican",0,0,1,0
"Xochitl Torres Small","NM","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Yvette D. Clarke","NY","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"F","Democrat",1,0,0,0
"Zoe Lofgren","CA","",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,0,0,1
