last_name,first_name,full_name,party,state,edu_college,edu_med,edu_law,edu_masters,edu_doctorate,work_bluecollar,work_business,work_education,work_farming,work_lawenforcement,work_lobbying,work_media,work_medicine,work_military,work_nonprofits,work_privatelaw,work_realestate,work_religiousleader,work_science,work_sports,gov_fedstate,gov_local,gov_none,gov_publiclawyerjudge,gov_stateleg
Conaway,Mike,Mike Conaway,Republican,TX,public,,,,,,,,,,,,,1,,,,,,,1,1,,,
Doyle,Mike,Mike Doyle,,PA,public,,,,,,,,,,,,,,,,,,,,,1,,,
Gallagher,Mike,Mike Gallagher,,WI,elite,,,1,1,,1,,,,,,,1,,,,,,,,,1,,
Johnson,Mike,Mike Johnson,,LA,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Kelly,Mike,Mike Kelly,,PA,private,,,,,,1,,,,,,,,,,,,,,,1,,,
Levin,Mike,Mike Levin,Democrat,CA,elite,,1,,,,1,,,,,,,,,1,,,,,,,1,,
Quigley,Mike,Mike Quigley,,IL,private,,1,1,,,,1,,,,,,,,1,,,,,,1,,,
Rogers,Mike ,Mike Rogers,,AL,public,,1,1,,,,,,,,,,,1,,1,,,,,1,,1,1
Simpson,Mike,Mike Simpson,,ID,public,1,,,,,,,,,,,1,,,,,,,,,1,,,1
Thompson,Mike,Mike Thompson,,CA,public,,,1,,,1,1,,,,,,1,,,,,,,,,,,1
Sherrill,Mikie,Mikie Sherrill,Democrat,NJ,public,,1,1,,,,,,,,,,1,,1,,,,,,,,1,
Brooks,Mo ,Mo Brooks,,AL,elite,,1,,,,,,,,,,,,,1,,,,,,1,,1,1
Griffith,Morgan,Morgan Griffith,,VA,private,,1,,,,,,,,,,,,,1,,,,,,,,,1
Pelosi,Nancy,Nancy Pelosi,,CA,private,,,,,,1,,,,,,,,,,,,,,,,1,,
Barragán,Nanette Diaz,Nanette Diaz Barragán,,CA,public,,1,,,,,,,,,,,,1,1,,,,,,1,,,
Dunn,Neal,Neal Dunn,,FL,private,1,,,,,,,,,,,1,1,,,,,,,,,1,,
Lowey,Nita,Nita Lowey,,NY,private,,,,,,,,,,,,,,,,,,,,1,,,,
Torres,Norma J.,Norma J. Torres,,CA,private,,,,,1,,,,,,,,,,,,,,,,1,,,1
Velázquez,Nydia M.,Nydia M. Velázquez,,NY,public,,,1,,,,1,,,,,,,,,,,,,1,1,,,
McHenry,Patrick T.,Patrick T. McHenry,,NC,private,,,,,,,,,,1,,,,,,1,,,,1,,,,1
Cook,Paul,Paul Cook,,CA,public,,,1,,,,1,,,,,,1,,,,,,,,1,,,1
Gosar,Paul ,Paul Gosar,,AZ,private,1,,,,,,,,,,,1,,,,,,,,,,1,,
Mitchell,Paul,Paul Mitchell,,MI,public,,,,,,1,,,,,,,,,,,,,,,1,,,
Tonko,Paul,Paul Tonko,,NY,private,,,,,,,,,,,,,,,,,,1,,1,1,,,1
Aguilar,Pete,Pete Aguilar,,CA,private,,,,,,1,,,,,,,,,,,,,,1,1,,,
Olson,Pete,Pete Olson,,TX,private,,1,,,,,,,,,,,1,,,,,,,,,1,,
Stauber,Pete,Pete Stauber,Republican,MN,public,,,,,,,,,1,,,,,,,,,,1,,1,,,
DeFazio,Peter,Peter DeFazio,,OR,private,,,1,,,,,,,,,,1,,,,,,,,1,,,
Visclosky,Peter J.,Peter J. Visclosky,,IN,public,,1,,,,,,,,,,,,,1,,,,,,,1,,
King,Peter T.,Peter T. King,,NY,private,,1,,,,,,,,,,,1,,1,,,,,,1,,1,
Welch,Peter,Peter Welch,,VT,private,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Roe,Phil,Phil Roe,Republican,TN,public,1,,,,,,,,,,,1,1,,,,,,,,1,,,
Jayapal,Pramila,Pramila Jayapal,,WA,private,,,1,,,1,,,,,,,,1,,,,,,,,,,1
Krishnamoorthi,Raja,Raja Krishnamoorthi,,IL,elite,,1,,,,1,,,,,,,,,1,,,,,1,,,1,
Abraham,Ralph,Ralph Abraham,,LA,public,1,,,,,,,,,,,1,1,,,,,,,,,1,,
Norman,Ralph,Ralph Norman,,SC,private,,,,,,,,,,,,,,,,1,,,,,,,,1
Weber,Randy,Randy Weber,,TX,public,,,,,,1,,,,,,,,,,,,,,,1,,,1
Tlaib,Rashida,Rashida Tlaib,Democrat,MI,public,,1,,,,,,,,,,,,1,,,,,,,,,,1
M. Grijalva,Raúl ,Raúl M. Grijalva,,AZ,public,,,,,,,1,,,,,,,1,,,,,,,1,,,
Ruiz,Raul,Raul Ruiz,,CA,public,1,,1,,,,1,,,,,1,,,,,,,,,,1,,
Neal,Richard E.,Richard E. Neal,,MA,private,,,1,,,,1,,,,,,,,,,,,,,1,,,
Hudson,Richard,Richard Hudson,,NC,public,,,,,,1,,,,,,,,,,,,,,,,1,,
Crawford,Rick ,Rick Crawford,,AR,public,,,,,,1,,,,,1,,1,,,,,,,,,1,,
Larsen,Rick,Rick Larsen,,WA,private,,,1,,,,,,,1,,,,,,,,,,,1,,,
Allen,Rick W.,Rick W. Allen,,GA,public,,,,,,1,,,,,,,,,,,,,,,,1,,
Khanna,Ro,Ro Khanna,,CA,elite,,1,,,,,1,,,,,,,,1,,,,,1,,,,
Bishop,Rob,Rob Bishop,,UT,public,,,,,,,1,,,1,,,,,,,,,,,,,,1
Wittman,Rob,Rob Wittman,,VA,public,,,1,1,,,,,,,,,,,,,,,,,1,,,1
Woodall,Rob,Rob Woodall,,GA,private,,1,,,,,,,,,,,,,,,,,,,,1,,
B. Aderholt,Robert ,Robert B. Aderholt,,AL,private,,1,,,,,,,,,,,,,1,,,,,,,,1,
